Customer_ID,Age,Gender,Region,Income,Total_Purchases,Avg_Order_Value,Total_Spend,Signup_Date,Churn,Row_Notes
CUST100000,39.0,Female,North,45199.51,5,1385.33,6068.32,2022-02-20,Yes,auto-generated record
CUST100001,27.0,Female,West,67096.45,9,3076.44,27820.68,2023-05-29,Yes,auto-generated record
CUST100002,35.0,Female,South,84041.1,10,3482.34,31038.17,2022-10-20,Yes,auto-generated record
CUST100003,33.0,Male,West,60503.1,10,2360.35,23789.71,2022-04-02,Yes,auto-generated record
CUST100004,35.0,Female,Central,70827.27,9,2174.78,18746.8,2023-04-08,Yes,auto-generated record
CUST100005,60.0,Male,East,73777.73,11,1845.27,18292.44,2023-11-18,No,auto-generated record
CUST100006,43.0,Male,East,72193.17,10,1294.85,11823.01,2023-01-17,No,auto-generated record
CUST100007,18.0,Female,North,35619.74,7,1663.9,10859.73,2023-03-19,No,auto-generated record
CUST100008,60.0,Other,South,87354.75,17,2888.57,38504.55,2023-11-28,No,auto-generated record
CUST100009,42.0,Male,East,68314.34,11,1163.29,10479.07,2023-02-13,No,auto-generated record
CUST100010,49.0,Female,West,95187.49,12,1343.41,12586.21,2023-05-07,Yes,auto-generated record
CUST100011,57.0,Female,West,79321.6,12,1381.53,13844.77,2024-06-06,No,auto-generated record
CUST100012,28.0,Female,South,40076.31,9,1848.3,15501.17,2022-08-04,No,auto-generated record
CUST100013,42.0,Male,North,81185.79,17,2119.12,27898.05,2023-12-10,No,auto-generated record
CUST100014,36.0,Male,South,83161.65,10,1820.89,16154.36,2022-11-25,Yes,auto-generated record
CUST100015,34.0,Male,Central,76857.04,12,2568.94,24552.91,2023-03-31,No,auto-generated record
CUST100016,34.0,Female,North,52434.16,6,1120.93,4980.75,2022-03-16,Yes,auto-generated record
CUST100017,39.0,Male,East,51832.39,10,2057.54,19286.06,2022-01-31,No,auto-generated record
CUST100018,52.0,Female,Central,87582.39,11,1095.25,9370.82,2022-02-28,Yes,auto-generated record
CUST100019,,Male,North,47745.92,9,1526.14,10155.6,2023-03-18,No,auto-generated record
CUST100020,41.0,Female,East,75728.49,10,1372.19,12969.77,2024-02-25,No,auto-generated record
CUST100021,52.0,Female,Central,65670.56,9,2140.48,17992.03,2022-12-03,No,auto-generated record
CUST100022,18.0,Male,South,41158.43,8,1714.44,14184.79,2022-08-17,No,auto-generated record
CUST100023,38.0,Female,East,52339.71,14,1131.42,16440.89,2022-09-04,No,auto-generated record
CUST100024,42.0,Female,Central,50599.87,8,1607.3,11124.95,2022-10-12,Yes,auto-generated record
CUST100025,42.0,Female,North,69406.11,12,1246.89,15063.18,2023-05-17,No,auto-generated record
CUST100026,55.0,Male,East,52170.27,8,219.77,1622.79,2023-03-02,Yes,auto-generated record
CUST100027,40.0,Male,West,58154.82,12,2278.44,28853.21,2024-04-21,Yes,auto-generated record
CUST100028,55.0,Female,West,59873.09,11,1055.59,12660.01,2022-10-15,No,auto-generated record
CUST100029,36.0,Male,East,65482.07,11,1014.13,9529.72,2024-02-14,Yes,auto-generated record
CUST100030,46.0,Female,North,79678.39,13,2856.49,35779.02,2022-04-11,Yes,auto-generated record
CUST100031,39.0,Female,East,32641.28,7,1483.02,8677.34,2022-01-24,Yes,auto-generated record
CUST100032,,Female,South,65625.37,7,699.28,3868.46,2022-04-06,No,auto-generated record
CUST100033,44.0,Female,East,48294.47,9,1199.73,11338.8,2022-03-08,Yes,auto-generated record
CUST100034,45.0,Male,South,57495.11,11,1720.95,19246.94,2023-06-03,No,auto-generated record
CUST100035,27.0,Male,Central,53296.44,11,2335.19,20917.05,2023-10-13,No,auto-generated record
CUST100036,50.0,Female,West,90922.38,11,1662.41,19984.94,2023-05-17,No,auto-generated record
CUST100037,35.0,Male,South,85407.58,9,2221.95,14190.91,2022-05-25,No,auto-generated record
CUST100038,39.0,Female,East,54999.26,9,2775.77,18095.42,2023-01-03,No,auto-generated record
CUST100039,18.0,Female,South,48682.99,10,2740.1,24761.54,2023-11-14,Yes,auto-generated record
CUST100040,38.0,Male,East,85046.14,10,1784.75,16768.12,2024-03-16,Yes,auto-generated record
CUST100041,18.0,Female,South,62251.27,13,1452.27,17367.85,2022-08-19,Yes,auto-generated record
CUST100042,49.0,Male,West,96108.16,13,2657.48,35584.92,2022-06-18,Yes,auto-generated record
CUST100043,29.0,Female,South,43793.68,10,3516.34,31364.08,2022-12-27,No,auto-generated record
CUST100044,33.0,Male,East,78143.24,9,1001.49,9761.52,2022-11-25,No,auto-generated record
CUST100045,36.0,Female,West,49582.82,6,1961.73,12679.49,2023-06-11,No,auto-generated record
CUST100046,22.0,Male,South,15000.0,9,2068.85,17220.08,2022-12-02,No,auto-generated record
CUST100047,38.0,Male,Central,72672.97,11,2938.76,29298.6,2024-06-03,No,auto-generated record
CUST100048,23.0,Male,North,37412.46,12,2589.34,33215.72,2023-03-13,No,auto-generated record
CUST100049,36.0,Female,West,71292.23,12,2466.39,24758.06,2022-12-08,Yes,auto-generated record
CUST100050,48.0,Male,South,56584.52,10,2488.6,19645.0,2024-05-27,Yes,auto-generated record
CUST100051,54.0,Female,South,86311.54,10,2159.69,20417.85,2022-03-23,Yes,auto-generated record
CUST100052,55.0,Female,East,39511.13,8,2465.54,16035.74,2022-02-22,No,auto-generated record
CUST100053,35.0,Male,East,29823.28,10,1517.92,10644.71,2022-02-19,No,auto-generated record
CUST100054,27.0,Female,South,82648.11,15,1416.29,22625.51,2023-06-17,No,auto-generated record
CUST100055,44.0,Other,North,80440.33,15,2223.53,36262.1,2023-07-24,No,auto-generated record
CUST100056,57.0,Female,North,66552.76,11,1706.83,19775.62,2022-08-16,No,auto-generated record
CUST100057,28.0,Male,West,26700.05,8,1977.2,15690.62,2024-02-23,No,auto-generated record
CUST100058,54.0,Female,East,79129.06,11,1300.61,13367.14,2022-09-22,No,auto-generated record
CUST100059,36.0,Female,West,102622.99,20,2129.34,40012.47,2022-12-02,No,auto-generated record
CUST100060,18.0,Female,Central,46336.94,13,2312.05,22541.5,2024-06-03,Yes,auto-generated record
CUST100061,39.0,Male,West,52025.0,6,1609.7,9665.45,2023-04-25,No,auto-generated record
CUST100062,61.0,Male,North,50612.22,8,1224.77,8559.27,2022-05-27,No,auto-generated record
CUST100063,47.0,Male,South,69671.03,15,1136.95,13696.03,2023-05-21,Yes,auto-generated record
CUST100064,51.0,Male,East,61295.64,9,1349.58,8630.99,2022-12-20,Yes,auto-generated record
CUST100065,43.0,Female,South,32570.14,8,2431.89,14856.98,2023-07-04,No,auto-generated record
CUST100066,18.0,Male,Central,39623.08,8,2219.41,12977.37,2022-10-11,No,auto-generated record
CUST100067,18.0,Female,Central,69788.36,13,2283.63,28839.36,2023-04-05,Yes,auto-generated record
CUST100068,25.0,Male,Central,34294.31,12,1209.11,10170.91,2023-02-05,No,auto-generated record
CUST100069,33.0,Male,East,61586.68,12,1057.17,13924.33,2024-04-21,No,auto-generated record
CUST100070,26.0,Male,Central,73372.05,17,1061.93,17294.18,2023-05-05,Yes,auto-generated record
CUST100071,28.0,Female,North,69050.6,12,2228.16,21592.75,2022-07-26,No,auto-generated record
CUST100072,47.0,Female,South,28977.14,9,1279.08,9503.22,2023-04-04,Yes,auto-generated record
CUST100073,56.0,Male,East,74193.75,11,1718.23,16747.48,2022-06-28,Yes,auto-generated record
CUST100074,18.0,Male,West,32260.02,5,1291.56,6947.28,2022-06-10,No,auto-generated record
CUST100075,25.0,Male,East,18064.48,9,1885.63,12120.58,2022-11-11,No,auto-generated record
CUST100076,37.0,Male,North,63347.88,15,1772.57,19501.94,2024-06-04,No,auto-generated record
CUST100077,36.0,Female,South,28221.46,9,1602.55,10104.63,2022-03-04,No,auto-generated record
CUST100078,18.0,Female,South,47805.77,11,1921.96,22979.98,2022-01-30,Yes,auto-generated record
CUST100079,73.0,Male,South,90886.24,12,778.39,8041.06,2022-01-06,Yes,auto-generated record
CUST100080,47.0,Female,North,70742.97,15,2809.7,34748.89,2024-02-21,No,auto-generated record
CUST100081,42.0,Female,South,56784.94,6,955.07,6226.97,2022-05-12,Yes,auto-generated record
CUST100082,18.0,Female,East,68785.0,13,1520.23,15896.43,2023-05-31,No,auto-generated record
CUST100083,42.0,Female,West,60253.08,13,3293.64,40760.54,2023-01-11,Yes,auto-generated record
CUST100084,24.0,Male,West,68174.68,9,2091.8,15848.15,2023-04-05,No,auto-generated record
CUST100085,44.0,Female,East,80047.69,17,1891.86,25441.4,2023-01-18,No,auto-generated record
CUST100086,42.0,Other,East,41099.66,11,1913.26,15052.71,2022-11-10,Yes,auto-generated record
CUST100087,39.0,Female,West,88013.05,11,2016.46,15727.04,2022-01-08,Yes,auto-generated record
CUST100088,43.0,Female,Central,56925.24,10,2300.74,16473.5,2022-06-08,No,auto-generated record
CUST100089,31.0,Female,West,56919.14,10,2858.23,23525.36,2023-06-03,Yes,auto-generated record
CUST100090,40.0,Male,West,61813.91,9,2179.57,20647.91,2022-06-26,No,auto-generated record
CUST100091,18.0,Male,Central,46797.99,8,1279.77,10058.53,2022-09-07,Yes,auto-generated record
CUST100092,47.0,Male,North,,11,1727.34,13627.59,2023-08-12,No,auto-generated record
CUST100093,36.0,Male,Central,66855.45,8,1227.93,10550.86,2022-08-15,No,auto-generated record
CUST100094,69.0,Male,South,56145.11,9,1373.77,13073.0,2023-07-31,Yes,auto-generated record
CUST100095,39.0,Female,East,66634.75,11,1530.85,13116.52,2022-03-03,No,auto-generated record
CUST100096,18.0,Female,West,65071.39,10,679.19,5148.49,2023-05-28,No,auto-generated record
CUST100097,57.0,Female,West,53148.46,6,2501.19,13456.29,2024-01-12,No,auto-generated record
CUST100098,29.0,Female,North,49182.16,11,1936.41,16471.12,2022-06-29,No,auto-generated record
CUST100099,24.0,Female,West,63072.28,13,1202.98,13873.92,2023-08-28,No,auto-generated record
CUST100100,38.0,Female,North,57196.63,11,100.0,1118.7,2024-01-01,No,auto-generated record
CUST100101,54.0,Female,South,73870.75,9,1811.03,13715.38,2024-06-12,Yes,auto-generated record
CUST100102,62.0,Female,West,63868.48,17,1540.47,24953.12,2022-10-07,Yes,auto-generated record
CUST100103,33.0,Female,South,50256.86,11,2752.45,31044.45,2023-04-04,No,auto-generated record
CUST100104,41.0,Male,East,54650.1,14,3666.48,44525.84,2022-02-28,No,auto-generated record
CUST100105,41.0,Female,West,64232.11,6,1635.44,8971.38,2024-05-12,No,auto-generated record
CUST100106,30.0,Male,Central,76414.41,9,2100.84,14257.26,2024-03-25,No,auto-generated record
CUST100107,32.0,Male,West,25645.86,11,2923.26,35064.6,2022-04-20,No,auto-generated record
CUST100108,36.0,Female,North,48413.3,11,1924.42,15648.03,2023-07-18,Yes,auto-generated record
CUST100109,37.0,Male,South,50386.32,8,1721.47,11832.4,2022-05-16,Yes,auto-generated record
CUST100110,51.0,Female,East,47257.74,13,2555.87,24041.9,2022-08-07,No,auto-generated record
CUST100111,18.0,Male,North,43156.15,15,1845.92,26579.96,2023-09-26,No,auto-generated record
CUST100112,44.0,Male,East,80533.1,14,2439.88,25906.54,2023-06-24,Yes,auto-generated record
CUST100113,43.0,Female,East,77454.71,14,1614.11,17466.59,2023-05-01,No,auto-generated record
CUST100114,55.0,Female,Central,52037.69,9,541.2,4802.35,2022-01-29,Yes,auto-generated record
CUST100115,33.0,Male,Central,30274.08,10,2052.38,20348.97,2022-01-08,No,auto-generated record
CUST100116,33.0,Female,North,63648.79,9,2284.53,18393.31,2022-02-14,No,auto-generated record
CUST100117,39.0,Male,South,66614.17,11,2581.27,26393.59,2024-04-16,Yes,auto-generated record
CUST100118,31.0,Female,West,34405.74,13,3109.06,28720.89,2022-05-30,No,auto-generated record
CUST100119,31.0,Female,North,59224.94,12,2524.3,29607.11,2023-06-27,No,auto-generated record
CUST100120,30.0,Female,South,62947.92,14,2331.89,29579.07,2023-07-02,Yes,auto-generated record
CUST100121,30.0,Female,East,67189.54,11,1919.27,22549.43,2023-04-15,No,auto-generated record
CUST100122,26.0,Female,North,45103.35,9,824.03,6722.03,2022-09-30,No,auto-generated record
CUST100123,31.0,Female,West,64668.44,12,1765.06,21878.63,2024-05-26,Yes,auto-generated record
CUST100124,29.0,Male,Central,,12,2035.53,23440.43,2023-04-01,No,auto-generated record
CUST100125,29.0,Other,North,70313.64,8,677.67,5185.32,2023-05-06,No,auto-generated record
CUST100126,22.0,Female,East,57449.44,8,2765.15,16853.35,2023-06-13,Yes,auto-generated record
CUST100127,49.0,Male,West,72293.43,7,1332.62,7981.66,2023-02-23,Yes,auto-generated record
CUST100128,42.0,Male,Central,59208.17,10,2207.46,19275.73,2022-07-17,No,auto-generated record
CUST100129,37.0,Male,South,52912.54,10,1509.34,11550.49,2022-02-27,Yes,auto-generated record
CUST100130,25.0,Female,North,58025.55,15,2235.05,30209.31,2023-01-16,No,auto-generated record
CUST100131,,Female,Central,75613.13,11,2595.56,25390.12,2022-07-14,No,auto-generated record
CUST100132,35.0,Male,Central,50206.01,10,2009.65,19864.58,2023-06-16,No,auto-generated record
CUST100133,37.0,Male,North,,14,2282.23,28031.66,2023-06-07,Yes,auto-generated record
CUST100134,39.0,Male,East,,9,2424.89,22830.93,2023-04-24,No,auto-generated record
CUST100135,36.0,Female,West,45645.97,11,1652.13,18912.15,2022-01-10,No,auto-generated record
CUST100136,50.0,Male,Central,37750.12,6,2004.51,12965.33,2024-05-09,Yes,auto-generated record
CUST100137,28.0,Female,North,37800.0,6,2391.41,13182.46,2022-12-03,No,auto-generated record
CUST100138,30.0,Female,West,50249.44,11,2172.0,21685.16,2023-08-07,No,auto-generated record
CUST100139,40.0,Female,West,58394.78,13,1935.15,27068.95,2022-08-29,No,auto-generated record
CUST100140,35.0,Male,East,16993.61,6,1581.01,6880.5,2023-03-09,Yes,auto-generated record
CUST100141,44.0,Male,North,24167.05,5,2872.19,15468.31,2022-06-04,No,auto-generated record
CUST100142,49.0,Male,North,75028.81,12,2087.39,23010.36,2022-10-11,No,auto-generated record
CUST100143,54.0,Male,South,37479.03,15,2376.57,38331.27,2023-07-27,Yes,auto-generated record
CUST100144,49.0,F,West,73243.34,13,319.24,4352.15,2022-03-22,No,auto-generated record
CUST100145,35.0,Male,North,78730.38,8,1403.57,11909.59,2023-03-28,Yes,auto-generated record
CUST100146,36.0,Female,North,15000.0,6,853.66,5230.99,2022-08-03,No,auto-generated record
CUST100147,33.0,Male,South,,11,1547.85,13076.73,2022-06-25,No,auto-generated record
CUST100148,52.0,Male,North,62659.66,13,2548.26,28390.86,2024-02-10,No,auto-generated record
CUST100149,35.0,Male,North,50853.62,10,2716.57,22742.44,2023-10-02,Yes,auto-generated record
CUST100150,28.0,Other,North,61674.36,18,2303.15,40611.91,2024-06-05,No,auto-generated record
CUST100151,25.0,Male,East,52868.71,16,768.35,8877.2,2023-04-23,No,auto-generated record
CUST100152,47.0,,West,70135.71,15,1959.23,27277.2,2022-08-23,No,auto-generated record
CUST100153,27.0,Female,South,87311.47,13,1418.44,18069.62,2022-11-18,No,auto-generated record
CUST100154,18.0,Male,North,57260.8,9,2395.17,21062.7,2023-07-20,No,auto-generated record
CUST100155,46.0,Male,South,38492.63,11,2346.95,21560.82,2024-05-01,No,auto-generated record
CUST100156,42.0,Male,East,83917.95,8,1172.16,8327.53,2024-02-15,Yes,auto-generated record
CUST100157,47.0,Female,Central,80560.9,11,,27287.18,2023-08-12,No,auto-generated record
CUST100158,50.0,Male,Central,87294.2,10,1700.06,17473.53,2023-09-10,No,auto-generated record
