Customer_ID,Age,Gender,Region,Income,Total_Purchases,Avg_Order_Value,Total_Spend,Signup_Date,Churn,Membership_Tier,Preferred_Category,Newsletter_Subscribed,Support_Tickets,Satisfaction_Score,Country,Currency,Timezone
CUST100000,39.0,Female,North,45199.51,5,1385.33,6068.32,2022-02-20,Yes,Gold,Fashion,True,3,7.7,India,INR,Asia/Kolkata
CUST100001,27.0,Female,West,67096.45,9,3076.44,27820.68,2023-05-29,Yes,Silver,Electronics,True,2,7.0,India,INR,Asia/Kolkata
CUST100002,35.0,Female,South,84041.1,10,3482.34,31038.17,2022-10-20,Yes,Bronze,Beauty,True,2,6.9,India,INR,Asia/Kolkata
CUST100003,33.0,Male,West,60503.1,10,2360.35,23789.71,2022-04-02,Yes,Gold,Electronics,True,2,8.5,India,INR,Asia/Kolkata
CUST100004,35.0,Female,Central,70827.27,9,2174.78,18746.8,2023-04-08,Yes,Gold,Sports,False,3,4.3,India,INR,Asia/Kolkata
CUST100005,60.0,Male,East,73777.73,11,1845.27,18292.44,2023-11-18,No,Gold,Home & Living,False,1,8.6,India,INR,Asia/Kolkata
CUST100006,43.0,Male,East,72193.17,10,1294.85,11823.01,2023-01-17,No,Bronze,Fashion,False,0,6.1,India,INR,Asia/Kolkata
CUST100007,18.0,Female,North,35619.74,7,1663.9,10859.73,2023-03-19,No,Bronze,Groceries,False,1,5.7,India,INR,Asia/Kolkata
CUST100008,60.0,Other,South,87354.75,17,2888.57,38504.55,2023-11-28,No,Bronze,Home & Living,True,0,6.9,India,INR,Asia/Kolkata
CUST100009,42.0,Male,East,68314.34,11,1163.29,10479.07,2023-02-13,No,Bronze,Groceries,False,0,6.4,India,INR,Asia/Kolkata
CUST100010,49.0,Female,West,95187.49,12,1343.41,12586.21,2023-05-07,Yes,Gold,Beauty,False,1,8.7,India,INR,Asia/Kolkata
CUST100011,57.0,Female,West,79321.6,12,1381.53,13844.77,2024-06-06,No,Bronze,Beauty,True,0,4.7,India,INR,Asia/Kolkata
CUST100012,28.0,Female,South,40076.31,9,1848.3,15501.17,2022-08-04,No,Silver,Sports,False,2,6.6,India,INR,Asia/Kolkata
CUST100013,42.0,Male,North,81185.79,17,2119.12,27898.05,2023-12-10,No,Silver,Sports,True,3,9.6,India,INR,Asia/Kolkata
CUST100014,36.0,Male,South,83161.65,10,1820.89,16154.36,2022-11-25,Yes,Silver,Sports,True,1,6.1,India,INR,Asia/Kolkata
CUST100015,34.0,Male,Central,76857.04,12,2568.94,24552.91,2023-03-31,No,Silver,Fashion,False,3,7.1,India,INR,Asia/Kolkata
CUST100016,34.0,Female,North,52434.16,6,1120.93,4980.75,2022-03-16,Yes,Silver,Home & Living,True,1,6.1,India,INR,Asia/Kolkata
CUST100017,39.0,Male,East,51832.39,10,2057.54,19286.06,2022-01-31,No,Silver,Beauty,True,1,8.6,India,INR,Asia/Kolkata
CUST100018,52.0,Female,Central,87582.39,11,1095.25,9370.82,2022-02-28,Yes,Bronze,Home & Living,False,2,8.3,India,INR,Asia/Kolkata
CUST100019,38.0,Male,North,47745.92,9,1526.14,10155.6,2023-03-18,No,Bronze,Beauty,False,0,6.9,India,INR,Asia/Kolkata
CUST100020,41.0,Female,East,75728.49,10,1372.19,12969.77,2024-02-25,No,Silver,Fashion,False,1,10.0,India,INR,Asia/Kolkata
CUST100021,52.0,Female,Central,65670.56,9,2140.48,17992.03,2022-12-03,No,Bronze,Groceries,True,1,7.1,India,INR,Asia/Kolkata
CUST100022,18.0,Male,South,41158.43,8,1714.44,14184.79,2022-08-17,No,Platinum,Home & Living,False,0,7.2,India,INR,Asia/Kolkata
CUST100023,38.0,Female,East,52339.71,14,1131.42,16440.89,2022-09-04,No,Silver,Fashion,True,0,5.9,India,INR,Asia/Kolkata
CUST100024,42.0,Female,Central,50599.87,8,1607.3,11124.95,2022-10-12,Yes,Platinum,Sports,True,2,5.4,India,INR,Asia/Kolkata
CUST100025,42.0,Female,North,69406.11,12,1246.89,15063.18,2023-05-17,No,Gold,Electronics,False,1,8.2,India,INR,Asia/Kolkata
