transaction_id,customer_id,purchase_date,amount,quantity,product_category,payment_method,discount_applied,source,age,location,customer_segment,registration_date,category_name,avg_price,inventory,last_updated,total_spending,spending_quartile,is_high_value,year,month,quarter,day_of_week,is_weekend,is_holiday_season,first_purchase_date,last_purchase_date,customer_age_days,recency_days,purchase_frequency,frequency_category,category_beauty,category_books,category_clothing,category_electronics,category_groceries,category_home  garden,category_sports,category_toys,rfm_recency,rfm_frequency,rfm_monetary
1.0,CUST_00092,2025-10-14 05:22:02.990913,42.46,3.0,electronics,Wallet,False,transactions,,,,,,,,,1025.5700000000002,Q1,0,2025,10,4,Tuesday,0,0,2025-08-12 05:22:02.996074,2026-08-02 05:22:03.001766,62,4,9,Regular,False,False,False,True,False,False,False,False,4,9,1025.5700000000002
2.0,CUST_00403,2026-02-28 05:22:02.991016,79.79,4.0,clothing,Debit Card,False,transactions,,,,,,,,,253.47000000000003,Q2,0,2026,2,1,Saturday,1,0,2025-12-06 05:22:02.999814,2026-02-28 05:22:02.991016,83,160,2,Occasional,False,False,True,False,False,False,False,False,160,2,253.47000000000003
3.0,CUST_00363,2025-12-27 05:22:02.991030,170.94,1.0,sports,Credit Card,True,transactions,,,,,,,,,707.75,Q4,1,2025,12,4,Saturday,1,1,2025-12-02 05:22:03.003136,2026-06-25 05:22:02.992150,24,43,6,Regular,False,False,False,False,False,False,True,False,43,6,707.75
4.0,CUST_00472,2026-02-19 05:22:02.991040,133.24,5.0,beauty,Credit Card,True,transactions,,,,,,,,,1449.15,Q3,0,2026,2,1,Thursday,0,0,2025-08-28 05:22:02.994535,2026-04-25 05:22:02.993473,174,104,10,Regular,True,False,False,False,False,False,False,False,104,10,1449.15
5.0,CUST_00154,2025-11-21 05:22:02.991047,53.29,3.0,groceries,PayPal,False,transactions,,,,,,,,,632.98,Q1,0,2025,11,4,Friday,0,1,2025-09-14 05:22:02.991724,2026-03-25 05:22:03.002540,67,134,6,Regular,False,False,False,False,True,False,False,False,134,6,632.98
6.0,CUST_00099,2026-01-04 05:22:02.991054,93.12,4.0,home  garden,PayPal,False,transactions,,,,,,,,,403.45,Q3,0,2026,1,1,Sunday,1,0,2025-08-24 05:22:02.998773,2026-04-03 05:22:02.992614,132,126,6,Regular,False,False,False,False,False,True,False,False,126,6,403.45
7.0,CUST_00427,2026-08-07 05:22:02.991061,62.1,3.0,books,PayPal,False,transactions,,,,,,,,,231.51999999999998,Q2,0,2026,8,3,Friday,0,0,2025-11-22 05:22:03.000766,2026-08-07 05:22:02.991061,257,0,4,Occasional,False,True,False,False,False,False,False,False,0,4,231.51999999999998
8.0,CUST_00227,2025-08-27 05:22:02.991067,115.3,2.0,toys,Debit Card,False,transactions,,,,,,,,,785.0,Q3,0,2025,8,3,Wednesday,0,0,2025-08-27 05:22:02.991067,2026-05-25 05:22:02.997848,0,74,7,Regular,False,False,False,False,False,False,False,True,74,7,785.0
9.0,CUST_00146,2025-11-17 05:22:02.991074,167.09,5.0,beauty,Debit Card,False,transactions,,,,,,,,,607.22,Q4,1,2025,11,4,Monday,0,1,2025-08-31 05:22:02.997915,2026-06-01 05:22:03.000372,77,67,5,Occasional,True,False,False,False,False,False,False,False,67,5,607.22
10.0,CUST_00116,2026-04-28 05:22:02.991079,47.07,2.0,,Wallet,False,transactions,,,,,,,,,273.93,Q1,0,2026,4,2,Tuesday,0,0,2025-08-26 05:22:02.991773,2026-04-28 05:22:02.991079,244,101,4,Occasional,False,False,False,False,False,False,False,False,101,4,273.93
